ID,x,y,z,cell_type,zone
111,160.0,103.92304845413264,0,hepatocyte,1
112,170.0,121.2435565298214,0,hepatocyte,1
113,160.0,138.56406460551017,0,hepatocyte,1
114,170.0,155.88457268119893,0,hepatocyte,1
115,160.0,173.2050807568877,0,hepatocyte,1
116,170.0,190.5255888325765,0,hepatocyte,1
117,160.0,207.84609690826528,0,hepatocyte,2
118,170.0,225.166604983954,0,hepatocyte,2
119,160.0,242.4871130596428,0,hepatocyte,2
120,170.0,259.80762113533154,0,hepatocyte,3
121,160.0,277.12812921102034,0,hepatocyte,3
122,170.0,294.4486372867092,0,hepatocyte,3
123,190.0,17.32050807568877,0,hepatocyte,3
124,180.0,34.64101615137754,0,hepatocyte,3
125,190.0,51.96152422706632,0,hepatocyte,3
126,180.0,69.28203230275508,0,hepatocyte,2
127,190.0,86.60254037844385,0,hepatocyte,2
128,180.0,103.92304845413264,0,hepatocyte,2
129,190.0,121.2435565298214,0,hepatocyte,1
130,180.0,138.56406460551017,0,hepatocyte,1
131,190.0,155.88457268119893,0,hepatocyte,1
132,180.0,173.2050807568877,0,hepatocyte,1
133,190.0,190.5255888325765,0,hepatocyte,2
134,180.0,207.84609690826528,0,hepatocyte,2
135,190.0,225.166604983954,0,hepatocyte,2
136,180.0,242.4871130596428,0,hepatocyte,2
137,190.0,259.80762113533154,0,hepatocyte,3
138,180.0,277.12812921102034,0,hepatocyte,3
139,190.0,294.4486372867092,0,hepatocyte,3
140,210.0,17.32050807568877,0,hepatocyte,3
141,200.0,34.64101615137754,0,hepatocyte,3
142,210.0,51.96152422706632,0,hepatocyte,3
143,200.0,69.28203230275508,0,hepatocyte,2
144,210.0,86.60254037844385,0,hepatocyte,2
145,200.0,103.92304845413264,0,hepatocyte,2
146,210.0,121.2435565298214,0,hepatocyte,2
147,200.0,138.56406460551017,0,hepatocyte,2
148,210.0,155.88457268119893,0,hepatocyte,2
149,200.0,173.2050807568877,0,hepatocyte,2
150,210.0,190.5255888325765,0,hepatocyte,2
151,200.0,207.84609690826528,0,hepatocyte,2
152,210.0,225.166604983954,0,hepatocyte,2
153,200.0,242.4871130596428,0,hepatocyte,3
154,210.0,259.80762113533154,0,hepatocyte,3
155,200.0,277.12812921102034,0,hepatocyte,3
156,220.0,34.64101615137754,0,hepatocyte,3
157,230.0,51.96152422706632,0,hepatocyte,3
158,220.0,69.28203230275508,0,hepatocyte,3
159,230.0,86.60254037844385,0,hepatocyte,3
