ID,x,y,z,cell_type
121,160.0,277.12812921102034,0,hepatocyte
122,170.0,294.4486372867092,0,hepatocyte
123,190.0,17.32050807568877,0,hepatocyte
124,180.0,34.64101615137754,0,hepatocyte
125,190.0,51.96152422706632,0,hepatocyte
126,180.0,69.28203230275508,0,hepatocyte
127,190.0,86.60254037844385,0,hepatocyte
128,180.0,103.92304845413264,0,hepatocyte
129,190.0,121.2435565298214,0,hepatocyte
130,180.0,138.56406460551017,0,hepatocyte
131,190.0,155.88457268119893,0,hepatocyte
132,180.0,173.2050807568877,0,hepatocyte
133,190.0,190.5255888325765,0,hepatocyte
134,180.0,207.84609690826528,0,hepatocyte
135,190.0,225.166604983954,0,hepatocyte
136,180.0,242.4871130596428,0,hepatocyte
137,190.0,259.80762113533154,0,hepatocyte
138,180.0,277.12812921102034,0,hepatocyte
139,190.0,294.4486372867092,0,hepatocyte
140,210.0,17.32050807568877,0,hepatocyte
141,200.0,34.64101615137754,0,hepatocyte
142,210.0,51.96152422706632,0,hepatocyte
143,200.0,69.28203230275508,0,hepatocyte
144,210.0,86.60254037844385,0,hepatocyte
145,200.0,103.92304845413264,0,hepatocyte
146,210.0,121.2435565298214,0,hepatocyte
147,200.0,138.56406460551017,0,hepatocyte
148,210.0,155.88457268119893,0,hepatocyte
149,200.0,173.2050807568877,0,hepatocyte
150,210.0,190.5255888325765,0,hepatocyte
151,200.0,207.84609690826528,0,hepatocyte
152,210.0,225.166604983954,0,hepatocyte
153,200.0,242.4871130596428,0,hepatocyte
154,210.0,259.80762113533154,0,hepatocyte
155,200.0,277.12812921102034,0,hepatocyte
156,220.0,34.64101615137754,0,hepatocyte
157,230.0,51.96152422706632,0,hepatocyte
158,220.0,69.28203230275508,0,hepatocyte
159,230.0,86.60254037844385,0,hepatocyte
160,220.0,103.92304845413264,0,hepatocyte
161,230.0,121.2435565298214,0,hepatocyte
162,220.0,138.56406460551017,0,hepatocyte
163,230.0,155.88457268119893,0,hepatocyte
164,220.0,173.2050807568877,0,hepatocyte
165,230.0,190.5255888325765,0,hepatocyte
166,220.0,207.84609690826528,0,hepatocyte
167,230.0,225.166604983954,0,hepatocyte
168,220.0,242.4871130596428,0,hepatocyte
169,230.0,259.80762113533154,0,hepatocyte
170,220.0,277.12812921102034,0,hepatocyte
171,240.0,34.64101615137754,0,hepatocyte
172,250.0,51.96152422706632,0,hepatocyte
173,240.0,69.28203230275508,0,hepatocyte
174,250.0,86.60254037844385,0,hepatocyte
175,240.0,103.92304845413264,0,hepatocyte
176,250.0,121.2435565298214,0,hepatocyte
177,240.0,138.56406460551017,0,hepatocyte
178,250.0,155.88457268119893,0,hepatocyte
179,240.0,173.2050807568877,0,hepatocyte
180,250.0,190.5255888325765,0,hepatocyte
181,240.0,207.84609690826528,0,hepatocyte
182,250.0,225.166604983954,0,hepatocyte
183,240.0,242.4871130596428,0,hepatocyte
184,250.0,259.80762113533154,0,hepatocyte
185,260.0,69.28203230275508,0,hepatocyte
186,270.0,86.60254037844385,0,hepatocyte
187,260.0,103.92304845413264,0,hepatocyte
188,270.0,121.2435565298214,0,hepatocyte
189,260.0,138.56406460551017,0,hepatocyte
190,270.0,155.88457268119893,0,hepatocyte
191,260.0,173.2050807568877,0,hepatocyte
192,270.0,190.5255888325765,0,hepatocyte
193,260.0,207.84609690826528,0,hepatocyte
194,270.0,225.166604983954,0,hepatocyte
195,260.0,242.4871130596428,0,hepatocyte
196,280.0,103.92304845413264,0,hepatocyte
197,290.0,121.2435565298214,0,hepatocyte
198,280.0,138.56406460551017,0,hepatocyte
199,290.0,155.88457268119893,0,hepatocyte
200,280.0,173.2050807568877,0,hepatocyte
201,290.0,190.5255888325765,0,hepatocyte
202,280.0,207.84609690826528,0,hepatocyte
