x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
60,-155.88457268119893,-194.44444444444446,zone_3,,,,
60,-121.2435565298214,-194.44444444444446,zone_3,,,,
60,-86.60254037844385,-194.44444444444446,zone_2,,,,
60,-51.96152422706631,-194.44444444444446,zone_2,,,,
60,-17.32050807568877,-194.44444444444446,zone_1,,,,
60,17.32050807568877,-194.44444444444446,zone_1,,,,
60,51.96152422706631,-194.44444444444446,zone_2,,,,
60,86.60254037844385,-194.44444444444446,zone_2,,,,
60,121.2435565298214,-194.44444444444446,zone_3,,,,
60,155.88457268119893,-194.44444444444446,zone_3,,,,
60,190.52558883257646,-194.44444444444446,zone_3,,,,
80,-173.2050807568877,-194.44444444444446,zone_3,,,,
80,-138.56406460551017,-194.44444444444446,zone_3,,,,
80,-103.92304845413263,-194.44444444444446,zone_2,,,,
80,-69.28203230275508,-194.44444444444446,zone_2,,,,
80,-34.64101615137754,-194.44444444444446,zone_2,,,,
80,0.0,-194.44444444444446,zone_2,,,,
80,34.64101615137754,-194.44444444444446,zone_2,,,,
80,69.28203230275508,-194.44444444444446,zone_2,,,,
80,103.92304845413263,-194.44444444444446,zone_2,,,,
80,138.56406460551017,-194.44444444444446,zone_3,,,,
80,173.2050807568877,-194.44444444444446,zone_3,,,,
100,-155.88457268119893,-194.44444444444446,zone_3,,,,
100,-121.2435565298214,-194.44444444444446,zone_3,,,,
100,-86.60254037844385,-194.44444444444446,zone_3,,,,
100,-51.96152422706631,-194.44444444444446,zone_2,,,,
100,-17.32050807568877,-194.44444444444446,zone_2,,,,
100,17.32050807568877,-194.44444444444446,zone_2,,,,
100,51.96152422706631,-194.44444444444446,zone_2,,,,
100,86.60254037844385,-194.44444444444446,zone_3,,,,
100,121.2435565298214,-194.44444444444446,zone_3,,,,
100,155.88457268119893,-194.44444444444446,zone_3,,,,
120,-138.56406460551017,-194.44444444444446,zone_3,,,,
120,-103.92304845413263,-194.44444444444446,zone_3,,,,
120,-69.28203230275508,-194.44444444444446,zone_3,,,,
120,-34.64101615137754,-194.44444444444446,zone_2,,,,
120,0.0,-194.44444444444446,zone_2,,,,
120,34.64101615137754,-194.44444444444446,zone_2,,,,
120,69.28203230275508,-194.44444444444446,zone_3,,,,
120,103.92304845413263,-194.44444444444446,zone_3,,,,
120,138.56406460551017,-194.44444444444446,zone_3,,,,
140,-121.2435565298214,-194.44444444444446,zone_3,,,,
140,-86.60254037844385,-194.44444444444446,zone_3,,,,
140,-51.96152422706631,-194.44444444444446,zone_3,,,,
140,-17.32050807568877,-194.44444444444446,zone_3,,,,
140,17.32050807568877,-194.44444444444446,zone_3,,,,
140,51.96152422706631,-194.44444444444446,zone_3,,,,
140,86.60254037844385,-194.44444444444446,zone_3,,,,
140,121.2435565298214,-194.44444444444446,zone_3,,,,
160,-138.56406460551017,-194.44444444444446,zone_3,,,,
160,-103.92304845413263,-194.44444444444446,zone_3,,,,
160,-69.28203230275508,-194.44444444444446,zone_3,,,,
160,-34.64101615137754,-194.44444444444446,zone_3,,,,
160,0.0,-194.44444444444446,zone_3,,,,
160,34.64101615137754,-194.44444444444446,zone_3,,,,
160,69.28203230275508,-194.44444444444446,zone_3,,,,
160,103.92304845413263,-194.44444444444446,zone_3,,,,
160,138.56406460551017,-194.44444444444446,zone_3,,,,
180,-121.2435565298214,-194.44444444444446,zone_3,,,,
180,-86.60254037844385,-194.44444444444446,zone_3,,,,
180,-51.96152422706631,-194.44444444444446,zone_3,,,,
180,-17.32050807568877,-194.44444444444446,zone_3,,,,
180,17.32050807568877,-194.44444444444446,zone_3,,,,
180,51.96152422706631,-194.44444444444446,zone_3,,,,
180,86.60254037844385,-194.44444444444446,zone_3,,,,
180,121.2435565298214,-194.44444444444446,zone_3,,,,
200,-103.92304845413263,-194.44444444444446,zone_3,,,,
200,-69.28203230275508,-194.44444444444446,zone_3,,,,
200,-34.64101615137754,-194.44444444444446,zone_3,,,,
200,0.0,-194.44444444444446,zone_3,,,,
200,34.64101615137754,-194.44444444444446,zone_3,,,,
200,69.28203230275508,-194.44444444444446,zone_3,,,,
200,103.92304845413263,-194.44444444444446,zone_3,,,,
-200,-103.92304845413263,-138.88888888888889,zone_3,,,,
-200,-69.28203230275508,-138.88888888888889,zone_3,,,,
-200,-34.64101615137754,-138.88888888888889,zone_3,,,,
-200,0.0,-138.88888888888889,zone_3,,,,
-200,34.64101615137754,-138.88888888888889,zone_3,,,,
-200,69.28203230275508,-138.88888888888889,zone_3,,,,
-200,103.92304845413263,-138.88888888888889,zone_3,,,,
-180,-121.2435565298214,-138.88888888888889,zone_3,,,,
-180,-86.60254037844385,-138.88888888888889,zone_3,,,,
-180,-51.96152422706631,-138.88888888888889,zone_3,,,,
-180,-17.32050807568877,-138.88888888888889,zone_3,,,,
-180,17.32050807568877,-138.88888888888889,zone_3,,,,
